timestamp,name,symbol,price
1705417665,Stellar,XLM,0.1177261075293707
1705419155,Dogecoin,DOGE,0.0811604652259878
1705419155,Polkadot,DOT,7.4972413196717060
1705417665,Dogecoin,DOGE,0.0806940379130879
1705417665,Litecoin,LTC,69.3490234662327168
1705417665,EOS,EOS,0.7667684487158847
1705419155,Bitcoin,BTC,42987.4815063212793688
1705419155,Ethereum,ETH,2558.8264995842497403
1705419155,Cardano,ADA,0.5411289597524738
1705419155,Litecoin,LTC,69.8237162734270285
1705419155,EOS,EOS,0.7692557668701537
1705417665,Bitcoin,BTC,42642.2050903341593205
1705417665,Ethereum,ETH,2530.2501084790652317
1705417665,Cardano,ADA,0.5325460920037696
1705417665,Polkadot,DOT,7.4254949919502841
1705417665,TRON,TRX,0.1079073820198410
1705417696,Bitcoin,BTC,42625.1338816982877917
1705417696,Ethereum,ETH,2529.6905981535660079
1705417696,Cardano,ADA,0.5324632550364129
1705417696,Dogecoin,DOGE,0.0806953831777620
1705417696,Polkadot,DOT,7.4302156873127700
1705417696,TRON,TRX,0.1078853232323722
1705417696,Litecoin,LTC,69.3451247666020335
1705417696,Stellar,XLM,0.1177180194757659
1705417696,EOS,EOS,0.7665802294291175
1705419155,TRON,TRX,0.1080559404357140
1705419155,Stellar,XLM,0.1180450042260751
1705419737,Ethereum,ETH,2564.2375787067617092
1705419737,Dogecoin,DOGE,0.0813254619568510
1705419737,TRON,TRX,0.1081628763907028
1705419737,Stellar,XLM,0.1180830007738665
1705419737,EOS,EOS,0.7726780692115921
1705419768,Bitcoin,BTC,43170.6773239843619159
1705419768,Ethereum,ETH,2562.8131118130711203
1705419768,Cardano,ADA,0.5406750585424744
1705419768,Dogecoin,DOGE,0.0813047782678369
1705419768,Polkadot,DOT,7.5087063815670686
1705419768,TRON,TRX,0.1081409598640668
1705419768,Litecoin,LTC,70.1047636746550668
1705419768,Stellar,XLM,0.1180618564276699
1705419768,EOS,EOS,0.7724477997438182
1705419737,Cardano,ADA,0.5409358092055956
1705419737,Bitcoin,BTC,43192.5535845934523386
1705419737,Polkadot,DOT,7.5128703956815700
1705419737,Litecoin,LTC,70.1318290716429592
1705422107,Bitcoin,BTC,43115.8261183006852150
1705422107,Ethereum,ETH,2554.0528624214555497
1705422107,Cardano,ADA,0.5419083347807932
1705422107,Dogecoin,DOGE,0.0810999430009649
1705422107,Polkadot,DOT,7.4855561685355913
1705422107,TRON,TRX,0.1080843410569266
1705422107,Litecoin,LTC,70.1209191363881134
1705422107,Stellar,XLM,0.1183637840151678
1705422107,EOS,EOS,0.7700154801575970
1705422045,Bitcoin,BTC,43116.0524368308028013
1705422045,Cardano,ADA,0.5419605625425567
1705422045,EOS,EOS,0.7696336548606683
1705422076,Bitcoin,BTC,43099.7355865200379595
1705422076,Ethereum,ETH,2553.0104591054722381
1705422076,Cardano,ADA,0.5419085009231000
1705422076,Dogecoin,DOGE,0.0810755014206631
1705422076,Polkadot,DOT,7.4860176970778316
1705422076,TRON,TRX,0.1080604432766995
1705422076,Litecoin,LTC,70.1219728071266109
1705422076,Stellar,XLM,0.1183578078243136
1705422076,EOS,EOS,0.7696391068289029
1705422045,Ethereum,ETH,2553.8558956203650471
1705422045,Dogecoin,DOGE,0.0810781401777673
1705422045,Polkadot,DOT,7.4865317318337053
1705422045,TRON,TRX,0.1080559163777693
1705422045,Litecoin,LTC,70.1290410380420936
1705422045,Stellar,XLM,0.1183351771536417
