,nombre_embalse,demarcacion_hidrografica,ccaa,provincia,uso,coordenadas,x,y
219,portodemouros,galicia-costa,Galicia,Pontevedra,Abastecimiento,"42.856207614,-8.19033879699998","42,856207614","-8,19033879699998"
220,prada,miño-sil,Galicia,Ourense,Abastecimiento,"42.310674749,-7.04066238099995","42,310674749","-7,04066238099995"
221,puebla de cazalla,guadalquivir,Andalucía,Sevilla,"Abastecimiento
Defensa frente avenidas","37.1297715490001,-5.24330867699996","37,1297715490001","-5,24330867699996"
222,puente nuevo,guadalquivir,Andalucía,Córdoba,"Abastecimiento
Ganadero
Defensa frente avenidas","38.08606718,-4.92546965099996","38,08606718","-4,92546965099996"
223,puente porto,duero,Castilla Y León,Zamora,Abastecimiento,"42.1158687330001,-6.83043827699993","42,1158687330001","-6,83043827699993"
224,puentes iv,segura,Región De Murcia,Murcia,"Abastecimiento
Defensa frente avenidas","37.7347336080001,-1.81922575299996","37,7347336080001","-1,81922575299996"
225,puentes viejas,tajo,Comunidad De Madrid,Madrid,Abastecimiento,"40.9931510110001,-3.57146299099998","40,9931510110001","-3,57146299099998"
226,puerto de vallehermoso,guadiana,Castilla - La Mancha,Ciudad Real,Abastecimiento,"38.8679274180001,-3.16849076499994","38,8679274180001","-3,16849076499994"
227,quentar,guadalquivir,Andalucía,Granada,"Abastecimiento
Ganadero
Defensa frente avenidas","37.2032970490001,-3.43802682299997","37,2032970490001","-3,43802682299997"
228,quiebrajano,guadalquivir,Andalucía,Jaén,Abastecimiento,"37.6330053230001,-3.72850877899998","37,6330053230001","-3,72850877899998"
229,"regajo, el",jucar,Comunitat Valenciana,"Castelló,Castellón","Abastecimiento
Defensa frente avenidas","39.8898591060001,-0.524556912999969","39,8898591060001","-0,524556912999969"
230,requejada,duero,Castilla Y León,Palencia,"Abastecimiento
Minería
Industrial
Hidroeléctrico
Ganadero
Defensa frente avenidas","42.9062072310001,-4.52945603999996","42,9062072310001","-4,52945603999996"
231,respomuso,ebro,Aragón,Huesca,Abastecimiento,"42.8156272250001,-0.297330793999947","42,8156272250001","-0,297330793999947"
232,retortillo,guadalquivir,Andalucía,Sevilla,"Abastecimiento
Defensa frente avenidas","37.8413896820001,-5.34934339699993","37,8413896820001","-5,34934339699993"
233,rialb,ebro,Cataluña,Lleida,"Abastecimiento
Ganadero
Defensa frente avenidas","41.939892881,1.19279358700004","41,939892881","1,19279358700004"
234,riaño,duero,Castilla Y León,León,"Abastecimiento
Hidroeléctrico
Riego
Defensa frente avenidas","42.933746397,-5.08475288599993","42,933746397","-5,08475288599993"
235,ribarroja,ebro,Cataluña,Tarragona,"Abastecimiento
Defensa frente avenidas
Hidroeléctrico","41.2436146920001,0.432598110000072","41,2436146920001","0,432598110000072"
236,ricobayo,duero,Castilla Y León,Zamora,Abastecimiento,"41.527467749,-5.98543277699997","41,527467749","-5,98543277699997"
237,riolobos,duero,Castilla Y León,Salamanca,Abastecimiento,"41.006227376,-5.30342870499993","41,006227376","-5,30342870499993"
238,riosequillo,tajo,Comunidad De Madrid,Madrid,"Abastecimiento
Defensa frente avenidas","40.9846013600001,-3.64825393599995","40,9846013600001","-3,64825393599995"
239,riudecanyes,cuencas internas de cataluña,Cataluña,Tarragona,"Abastecimiento
Defensa frente avenidas","41.133459546,0.958540952000021","41,133459546","0,958540952000021"
240,rivera de gata,tajo,Extremadura,Cáceres,"Abastecimiento
Defensa frente avenidas","40.1331552600001,-6.64763777499996","40,1331552600001","-6,64763777499996"
241,"rodeos, los",segura,Región De Murcia,Murcia,Abastecimiento,"38.0434511560001,-1.29443525699998","38,0434511560001","-1,29443525699998"
242,rosarito,tajo,Castilla Y León,Ávila,"Abastecimiento
Defensa frente avenidas","40.110346936,-5.32378188799993","40,110346936","-5,32378188799993"
243,"rozas, las",miño-sil,Castilla Y León,León,"Abastecimiento
Defensa frente avenidas","42.9069858300001,-6.35038478399997","42,9069858300001","-6,35038478399997"
244,ruecas,guadiana,Extremadura,Cáceres,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","39.267439745,-5.49598021299994","39,267439745","-5,49598021299994"
245,rules,cuencas mediterraneas andaluzas,Andalucía,Granada,"Abastecimiento
Ganadero
Defensa frente avenidas","36.860509918,-3.49543042599993","36,860509918","-3,49543042599993"
246,rumblar,guadalquivir,Andalucía,Jaén,"Abastecimiento
Defensa frente avenidas","38.1606132000001,-3.80533125699998","38,1606132000001","-3,80533125699998"
247,salas,miño-sil,Galicia,Ourense,Abastecimiento,"41.9246563240001,-7.94313212699996","41,9246563240001","-7,94313212699996"
248,sallente,ebro,Cataluña,Lleida,Abastecimiento,"42.5003709690001,0.991459934000034","42,5003709690001","0,991459934000034"
249,salor,tajo,Extremadura,Cáceres,Abastecimiento,"39.363901431,-6.30464727599997","39,363901431","-6,30464727599997"
250,san anton,cantabrico oriental,Comunidad Foral De Navarra,Navarra,Abastecimiento,"43.277117956,-1.77374675199997","43,277117956","-1,77374675199997"
251,san clemente,guadalquivir,Andalucía,Granada,Abastecimiento,"37.8575319010001,-2.64936869299993","37,8575319010001","-2,64936869299993"
252,san jose,duero,Castilla Y León,Valladolid,"Abastecimiento
Defensa frente avenidas","41.403921299,-5.27303186899996","41,403921299","-5,27303186899996"
253,san juan,tajo,Comunidad De Madrid,Madrid,"Abastecimiento
Ganadero
Defensa frente avenidas","40.373071902,-4.31198048099998","40,373071902","-4,31198048099998"
254,san pedro,miño-sil,Galicia,Lugo,"Hidroeléctrico
Abastecimiento","42.4527079760001,-7.71396403899996","42,4527079760001","-7,71396403899996"
255,san sebastian,miño-sil,Galicia,Ourense,Abastecimiento,"42.1443419570001,-6.94769548399995","42,1443419570001","-6,94769548399995"
256,"sancho, el","tinto, odiel y piedras",Andalucía,Huelva,"Abastecimiento
Defensa frente avenidas","37.4610614040001,-6.98278512099995","37,4610614040001","-6,98278512099995"
257,sant ponc,cuencas internas de cataluña,Cataluña,Lleida,"Abastecimiento
Ganadero
Defensa frente avenidas","41.9629241380001,1.60560158600003","41,9629241380001","1,60560158600003"
258,santa ana,ebro,Aragón,Huesca,"Abastecimiento
Ganadero
Defensa frente avenidas","41.8825060980001,0.580849584000021","41,8825060980001","0,580849584000021"
259,santa eulalia,miño-sil,Galicia,Ourense,"Abastecimiento
Hidroeléctrico","42.3483453630001,-7.06397987999998","42,3483453630001","-7,06397987999998"
260,santa maria belsue,ebro,Aragón,Huesca,Abastecimiento,"42.30237966,-0.347295588999941","42,30237966","-0,347295588999941"
261,santa teresa,duero,Castilla Y León,Salamanca,"Abastecimiento
Ganadero
Defensa frente avenidas","40.666865961,-5.60128066699997","40,666865961","-5,60128066699997"
262,santolea,ebro,Aragón,Teruel,"Abastecimiento
Ganadero
Defensa frente avenidas","40.772565747,-0.31769404299996","40,772565747","-0,31769404299996"
263,santomera,segura,Región De Murcia,Murcia,"Abastecimiento
Defensa frente avenidas","38.0953790500001,-1.08850565499995","38,0953790500001","-1,08850565499995"
264,sau,cuencas internas de cataluña,Cataluña,Barcelona,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","41.967837526,2.41280096100007","41,967837526","2,41280096100007"
265,saucelle,duero,Castilla Y León,Salamanca,Abastecimiento,"41.047128807,-6.80401964899994","41,047128807","-6,80401964899994"
266,sequeiros,miño-sil,Galicia,Lugo,Abastecimiento,"42.450804406,-7.25122124099994","42,450804406","-7,25122124099994"
267,"serena, la",guadiana,Extremadura,Badajoz,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","38.9127291240001,-5.41330542299994","38,9127291240001","-5,41330542299994"
268,serones,duero,Castilla Y León,Ávila,Abastecimiento,"40.6897420190001,-4.47398559699997","40,6897420190001","-4,47398559699997"
269,sichar,jucar,Comunitat Valenciana,"Castelló,Castellón","Abastecimiento
Defensa frente avenidas","40.0100628180001,-0.231145701999935","40,0100628180001","-0,231145701999935"
270,sierra boyera,guadalquivir,Andalucía,Córdoba,Abastecimiento,"38.2579828190001,-5.22281439599993","38,2579828190001","-5,22281439599993"
271,sierra brava,guadiana,Extremadura,Cáceres,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","39.1932626620001,-5.64510043299993","39,1932626620001","-5,64510043299993"
272,sobron,ebro,País Vasco,"Araba,Álava",Abastecimiento,"42.767126621,-3.10021329299997","42,767126621","-3,10021329299997"
